judge_a,judge_b,kappa,agree_pct,both_pos_pct,both_neg_pct,disagree_ab_pct,disagree_ba_pct,posrate_a,posrate_b,n_common_pairs
ChatGPT,DeepSeek-V3,0.7144,0.8881,0.2112,0.6769,0.0432,0.0687,0.2544,0.2799,9668
ChatGPT,Gemma2-vllm-zs-bing,0.5728,0.8052,0.235,0.5702,0.0194,0.1753,0.2544,0.4103,9668
ChatGPT,Gemma2-vllm-zs-bing-strict,0.5139,0.7682,0.2378,0.5304,0.0167,0.2151,0.2544,0.4529,9668
ChatGPT,Human,0.3869,0.7478,0.1608,0.587,0.0936,0.1586,0.2544,0.3194,9668
ChatGPT,Llama3-default,0.2251,0.5491,0.2351,0.314,0.0193,0.4315,0.2544,0.6666,9668
ChatGPT,Llama3-strict,0.4746,0.7662,0.2043,0.562,0.0502,0.1836,0.2544,0.3879,9668
ChatGPT,Llama3-vllm-fs-basic,0.4485,0.7381,0.2207,0.5174,0.0337,0.2282,0.2544,0.4489,9668
ChatGPT,Llama3-vllm-fs-bing,0.4579,0.7691,0.1863,0.5829,0.0682,0.1627,0.2544,0.349,9668
ChatGPT,Llama3-vllm-zs-basic,0.3546,0.6517,0.2434,0.4084,0.0111,0.3372,0.2544,0.5806,9668
ChatGPT,Qwen2.5-7B,0.5877,0.8329,0.1974,0.6355,0.0571,0.1101,0.2544,0.3074,9668
DeepSeek-V3,Gemma2-vllm-zs-bing,0.6265,0.828,0.2591,0.5689,0.0208,0.1512,0.2799,0.4103,9668
DeepSeek-V3,Gemma2-vllm-zs-bing-strict,0.5656,0.7918,0.2623,0.5295,0.0176,0.1906,0.2799,0.4529,9668
DeepSeek-V3,Human,0.4219,0.7569,0.1781,0.5788,0.1018,0.1413,0.2799,0.3194,9668
DeepSeek-V3,Llama3-default,0.2616,0.5766,0.2616,0.3151,0.0183,0.405,0.2799,0.6666,9668
DeepSeek-V3,Llama3-strict,0.5198,0.7836,0.2257,0.5579,0.0542,0.1622,0.2799,0.3879,9668
DeepSeek-V3,Llama3-vllm-fs-basic,0.4879,0.7555,0.2421,0.5133,0.0378,0.2068,0.2799,0.4489,9668
DeepSeek-V3,Llama3-vllm-fs-bing,0.4932,0.7803,0.2046,0.5757,0.0753,0.1444,0.2799,0.349,9668
DeepSeek-V3,Llama3-vllm-zs-basic,0.3948,0.6759,0.2682,0.4077,0.0117,0.3124,0.2799,0.5806,9668
DeepSeek-V3,Qwen2.5-7B,0.6129,0.8393,0.2133,0.626,0.0666,0.0941,0.2799,0.3074,9668
Gemma2-vllm-zs-bing,Gemma2-vllm-zs-bing-strict,0.8304,0.9166,0.3899,0.5267,0.0204,0.063,0.4103,0.4529,9668
Gemma2-vllm-zs-bing,Human,0.3778,0.709,0.2194,0.4897,0.1909,0.1,0.4103,0.3194,9668
Gemma2-vllm-zs-bing,Llama3-default,0.3535,0.6574,0.3672,0.2902,0.0431,0.2994,0.4103,0.6666,9668
Gemma2-vllm-zs-bing,Llama3-strict,0.5579,0.7879,0.293,0.4948,0.1173,0.0948,0.4103,0.3879,9668
Gemma2-vllm-zs-bing,Llama3-vllm-fs-basic,0.5539,0.781,0.3201,0.4609,0.0902,0.1288,0.4103,0.4489,9668
Gemma2-vllm-zs-bing,Llama3-vllm-fs-bing,0.4797,0.7539,0.2566,0.4973,0.1537,0.0924,0.4103,0.349,9668
Gemma2-vllm-zs-bing,Llama3-vllm-zs-basic,0.5094,0.7476,0.3693,0.3784,0.0411,0.2113,0.4103,0.5806,9668
Gemma2-vllm-zs-bing,Qwen2.5-7B,0.5744,0.8019,0.2598,0.5421,0.1505,0.0476,0.4103,0.3074,9668
Gemma2-vllm-zs-bing-strict,Human,0.3753,0.6983,0.2353,0.463,0.2176,0.0841,0.4529,0.3194,9668
Gemma2-vllm-zs-bing-strict,Llama3-default,0.3842,0.6825,0.401,0.2814,0.0519,0.2656,0.4529,0.6666,9668
Gemma2-vllm-zs-bing-strict,Llama3-strict,0.5632,0.7862,0.3135,0.4727,0.1394,0.0744,0.4529,0.3879,9668
Gemma2-vllm-zs-bing-strict,Llama3-vllm-fs-basic,0.5465,0.7754,0.3386,0.4368,0.1143,0.1103,0.4529,0.4489,9668
Gemma2-vllm-zs-bing-strict,Llama3-vllm-fs-bing,0.4671,0.7411,0.2715,0.4696,0.1814,0.0775,0.4529,0.349,9668
Gemma2-vllm-zs-bing-strict,Llama3-vllm-zs-basic,0.5386,0.7658,0.3997,0.3662,0.0533,0.1809,0.4529,0.5806,9668
Gemma2-vllm-zs-bing-strict,Qwen2.5-7B,0.5297,0.7734,0.2669,0.5065,0.1861,0.0405,0.4529,0.3074,9668
Human,Llama3-default,0.2103,0.5576,0.2718,0.2858,0.0476,0.3948,0.3194,0.6666,9668
Human,Llama3-strict,0.3652,0.7083,0.2078,0.5005,0.1116,0.1801,0.3194,0.3879,9668
Human,Llama3-vllm-fs-basic,0.3328,0.6787,0.2235,0.4552,0.0959,0.2254,0.3194,0.4489,9668
Human,Llama3-vllm-fs-bing,0.3415,0.7067,0.1875,0.5191,0.1319,0.1615,0.3194,0.349,9668
Human,Llama3-vllm-zs-basic,0.3039,0.6317,0.2658,0.3658,0.0536,0.3147,0.3194,0.5806,9668
Human,Qwen2.5-7B,0.3767,0.7317,0.1793,0.5524,0.1402,0.1282,0.3194,0.3074,9668
Llama3-default,Llama3-strict,0.3943,0.6745,0.3645,0.31,0.3021,0.0234,0.6666,0.3879,9668
Llama3-default,Llama3-vllm-fs-basic,0.4553,0.7183,0.4169,0.3014,0.2497,0.032,0.6666,0.4489,9668
Llama3-default,Llama3-vllm-fs-bing,0.3431,0.6385,0.3271,0.3114,0.3396,0.0219,0.6666,0.349,9668
Llama3-default,Llama3-vllm-zs-basic,0.593,0.8074,0.5273,0.2801,0.1393,0.0533,0.6666,0.5806,9668
Llama3-default,Qwen2.5-7B,0.2866,0.5975,0.2858,0.3118,0.3808,0.0216,0.6666,0.3074,9668
Llama3-strict,Llama3-vllm-fs-basic,0.638,0.8231,0.33,0.4932,0.0579,0.1189,0.3879,0.4489,9668
Llama3-strict,Llama3-vllm-fs-bing,0.6028,0.8149,0.2759,0.539,0.112,0.0731,0.3879,0.349,9668
Llama3-strict,Llama3-vllm-zs-basic,0.5853,0.7852,0.3768,0.4084,0.0111,0.2038,0.3879,0.5806,9668
Llama3-strict,Qwen2.5-7B,0.5132,0.7776,0.2365,0.5412,0.1514,0.071,0.3879,0.3074,9668
Llama3-vllm-fs-basic,Llama3-vllm-fs-bing,0.6593,0.8349,0.3164,0.5185,0.1325,0.0326,0.4489,0.349,9668
Llama3-vllm-fs-basic,Llama3-vllm-zs-basic,0.6473,0.8207,0.4251,0.3956,0.0238,0.1555,0.4489,0.5806,9668
Llama3-vllm-fs-basic,Qwen2.5-7B,0.5004,0.76,0.2582,0.5019,0.1907,0.0492,0.4489,0.3074,9668
Llama3-vllm-fs-bing,Llama3-vllm-zs-basic,0.5011,0.7384,0.334,0.4044,0.015,0.2466,0.349,0.5806,9668
Llama3-vllm-fs-bing,Qwen2.5-7B,0.5103,0.7836,0.22,0.5636,0.129,0.0874,0.349,0.3074,9668
Llama3-vllm-zs-basic,Qwen2.5-7B,0.4155,0.6896,0.2888,0.4008,0.2918,0.0186,0.5806,0.3074,9668
