retriever,judge,bin,mean_precision,n_queries,n_docs_judged
BM25,Human,1-5,0.144,960,4800
BM25,Human,6-10,0.0752,960,4800
BM25,Human,11-25,0.0343,960,14400
BM25,Human,26-50,0.0159,960,24000
BM25,Human,51-100,0.007,960,48000
BM25,Qwen2.5-7B,1-5,0.5961,634,1166
BM25,Qwen2.5-7B,6-10,0.414,497,770
BM25,Qwen2.5-7B,11-25,0.3777,652,1379
BM25,Qwen2.5-7B,26-50,0.3332,607,1203
BM25,Qwen2.5-7B,51-100,0.3069,597,1098
BM25,DeepSeek-V3,1-5,0.5607,634,1166
BM25,DeepSeek-V3,6-10,0.4094,497,770
BM25,DeepSeek-V3,11-25,0.3542,652,1379
BM25,DeepSeek-V3,26-50,0.2917,607,1203
BM25,DeepSeek-V3,51-100,0.28,597,1098
BM25,ChatGPT,1-5,0.4815,567,1042
BM25,ChatGPT,6-10,0.366,454,706
BM25,ChatGPT,11-25,0.3116,594,1246
BM25,ChatGPT,26-50,0.2479,548,1080
BM25,ChatGPT,51-100,0.2395,544,988
BM25,Llama3-default,1-5,0.9142,634,1166
BM25,Llama3-default,6-10,0.8545,497,770
BM25,Llama3-default,11-25,0.8194,652,1379
BM25,Llama3-default,26-50,0.78,607,1203
BM25,Llama3-default,51-100,0.6902,597,1098
BM25,Llama3-strict,1-5,0.6623,634,1166
BM25,Llama3-strict,6-10,0.5182,497,770
BM25,Llama3-strict,11-25,0.4673,652,1379
BM25,Llama3-strict,26-50,0.4417,607,1203
BM25,Llama3-strict,51-100,0.3732,597,1098
BM25,Llama3-vllm-fs-basic,1-5,0.7244,634,1166
BM25,Llama3-vllm-fs-basic,6-10,0.5934,497,770
BM25,Llama3-vllm-fs-basic,11-25,0.5477,652,1379
BM25,Llama3-vllm-fs-basic,26-50,0.5087,607,1203
BM25,Llama3-vllm-fs-basic,51-100,0.4615,597,1098
BM25,Llama3-vllm-fs-bing,1-5,0.6303,634,1166
BM25,Llama3-vllm-fs-bing,6-10,0.4826,497,770
BM25,Llama3-vllm-fs-bing,11-25,0.4362,652,1379
BM25,Llama3-vllm-fs-bing,26-50,0.3827,607,1203
BM25,Llama3-vllm-fs-bing,51-100,0.3456,597,1098
BM25,Llama3-vllm-zs-basic,1-5,0.8606,634,1166
BM25,Llama3-vllm-zs-basic,6-10,0.7514,497,770
BM25,Llama3-vllm-zs-basic,11-25,0.7105,652,1379
BM25,Llama3-vllm-zs-basic,26-50,0.6537,607,1203
BM25,Llama3-vllm-zs-basic,51-100,0.6101,597,1098
BM25,Gemma2-vllm-zs-bing,1-5,0.6706,634,1166
BM25,Gemma2-vllm-zs-bing,6-10,0.5446,497,770
BM25,Gemma2-vllm-zs-bing,11-25,0.4955,652,1379
BM25,Gemma2-vllm-zs-bing,26-50,0.4674,607,1203
BM25,Gemma2-vllm-zs-bing,51-100,0.4228,597,1098
BM25,Gemma2-vllm-zs-bing-strict,1-5,0.7016,634,1166
BM25,Gemma2-vllm-zs-bing-strict,6-10,0.5923,497,770
BM25,Gemma2-vllm-zs-bing-strict,11-25,0.5434,652,1379
BM25,Gemma2-vllm-zs-bing-strict,26-50,0.5093,607,1203
BM25,Gemma2-vllm-zs-bing-strict,51-100,0.4811,597,1098
BGE-M3,Human,1-5,0.2802,960,4800
BGE-M3,Human,6-10,0.0929,960,4800
BGE-M3,Human,11-25,0.0344,960,14400
BGE-M3,Human,26-50,0.012,960,24000
BGE-M3,Human,51-100,0.0039,960,48000
BGE-M3,Qwen2.5-7B,1-5,0.6874,876,2197
BGE-M3,Qwen2.5-7B,6-10,0.38,669,1161
BGE-M3,Qwen2.5-7B,11-25,0.2996,734,1599
BGE-M3,Qwen2.5-7B,26-50,0.232,609,1071
BGE-M3,Qwen2.5-7B,51-100,0.1835,500,807
BGE-M3,DeepSeek-V3,1-5,0.6962,876,2197
BGE-M3,DeepSeek-V3,6-10,0.3791,669,1161
BGE-M3,DeepSeek-V3,11-25,0.2486,734,1599
BGE-M3,DeepSeek-V3,26-50,0.159,609,1071
BGE-M3,DeepSeek-V3,51-100,0.1582,500,807
BGE-M3,ChatGPT,1-5,0.6066,793,1991
BGE-M3,ChatGPT,6-10,0.3093,609,1048
BGE-M3,ChatGPT,11-25,0.2247,664,1437
BGE-M3,ChatGPT,26-50,0.1512,547,954
BGE-M3,ChatGPT,51-100,0.1488,458,745
BGE-M3,Llama3-default,1-5,0.9285,876,2197
BGE-M3,Llama3-default,6-10,0.8299,669,1161
BGE-M3,Llama3-default,11-25,0.7594,734,1599
BGE-M3,Llama3-default,26-50,0.6921,609,1071
BGE-M3,Llama3-default,51-100,0.6072,500,807
BGE-M3,Llama3-strict,1-5,0.7261,876,2197
BGE-M3,Llama3-strict,6-10,0.5145,669,1161
BGE-M3,Llama3-strict,11-25,0.3992,734,1599
BGE-M3,Llama3-strict,26-50,0.3295,609,1071
BGE-M3,Llama3-strict,51-100,0.284,500,807
BGE-M3,Llama3-vllm-fs-basic,1-5,0.7756,876,2197
BGE-M3,Llama3-vllm-fs-basic,6-10,0.5946,669,1161
BGE-M3,Llama3-vllm-fs-basic,11-25,0.4719,734,1599
BGE-M3,Llama3-vllm-fs-basic,26-50,0.3908,609,1071
BGE-M3,Llama3-vllm-fs-basic,51-100,0.3372,500,807
BGE-M3,Llama3-vllm-fs-bing,1-5,0.7071,876,2197
BGE-M3,Llama3-vllm-fs-bing,6-10,0.4463,669,1161
BGE-M3,Llama3-vllm-fs-bing,11-25,0.3309,734,1599
BGE-M3,Llama3-vllm-fs-bing,26-50,0.2654,609,1071
BGE-M3,Llama3-vllm-fs-bing,51-100,0.2522,500,807
BGE-M3,Llama3-vllm-zs-basic,1-5,0.9047,876,2197
BGE-M3,Llama3-vllm-zs-basic,6-10,0.7452,669,1161
BGE-M3,Llama3-vllm-zs-basic,11-25,0.6416,734,1599
BGE-M3,Llama3-vllm-zs-basic,26-50,0.5566,609,1071
BGE-M3,Llama3-vllm-zs-basic,51-100,0.496,500,807
BGE-M3,Gemma2-vllm-zs-bing,1-5,0.7803,876,2197
BGE-M3,Gemma2-vllm-zs-bing,6-10,0.5423,669,1161
BGE-M3,Gemma2-vllm-zs-bing,11-25,0.4106,734,1599
BGE-M3,Gemma2-vllm-zs-bing,26-50,0.3303,609,1071
BGE-M3,Gemma2-vllm-zs-bing,51-100,0.3302,500,807
BGE-M3,Gemma2-vllm-zs-bing-strict,1-5,0.8011,876,2197
BGE-M3,Gemma2-vllm-zs-bing-strict,6-10,0.5816,669,1161
BGE-M3,Gemma2-vllm-zs-bing-strict,11-25,0.4632,734,1599
BGE-M3,Gemma2-vllm-zs-bing-strict,26-50,0.392,609,1071
BGE-M3,Gemma2-vllm-zs-bing-strict,51-100,0.3696,500,807
Qwen-embed,Human,1-5,0.0033,960,4800
Qwen-embed,Human,6-10,0.0008,960,4800
Qwen-embed,Human,11-25,0.0013,960,14400
Qwen-embed,Human,26-50,0.0015,960,24000
Qwen-embed,Human,51-100,0.0005,960,48000
Qwen-embed,Qwen2.5-7B,1-5,0.4483,29,31
Qwen-embed,Qwen2.5-7B,6-10,0.5,12,12
Qwen-embed,Qwen2.5-7B,11-25,0.5517,29,32
Qwen-embed,Qwen2.5-7B,26-50,0.4545,55,60
Qwen-embed,Qwen2.5-7B,51-100,0.5246,61,71
Qwen-embed,DeepSeek-V3,1-5,0.4483,29,31
Qwen-embed,DeepSeek-V3,6-10,0.4167,12,12
Qwen-embed,DeepSeek-V3,11-25,0.5345,29,32
Qwen-embed,DeepSeek-V3,26-50,0.4909,55,60
Qwen-embed,DeepSeek-V3,51-100,0.459,61,71
Qwen-embed,ChatGPT,1-5,0.4231,26,28
Qwen-embed,ChatGPT,6-10,0.3,10,10
Qwen-embed,ChatGPT,11-25,0.46,25,26
Qwen-embed,ChatGPT,26-50,0.46,50,55
Qwen-embed,ChatGPT,51-100,0.3585,53,61
Qwen-embed,Llama3-default,1-5,0.8966,29,31
Qwen-embed,Llama3-default,6-10,0.75,12,12
Qwen-embed,Llama3-default,11-25,0.931,29,32
Qwen-embed,Llama3-default,26-50,0.8136,55,60
Qwen-embed,Llama3-default,51-100,0.8525,61,71
Qwen-embed,Llama3-strict,1-5,0.6379,29,31
Qwen-embed,Llama3-strict,6-10,0.5833,12,12
Qwen-embed,Llama3-strict,11-25,0.6552,29,32
Qwen-embed,Llama3-strict,26-50,0.6182,55,60
Qwen-embed,Llama3-strict,51-100,0.5984,61,71
Qwen-embed,Llama3-vllm-fs-basic,1-5,0.7069,29,31
Qwen-embed,Llama3-vllm-fs-basic,6-10,0.5833,12,12
Qwen-embed,Llama3-vllm-fs-basic,11-25,0.7586,29,32
Qwen-embed,Llama3-vllm-fs-basic,26-50,0.6545,55,60
Qwen-embed,Llama3-vllm-fs-basic,51-100,0.6803,61,71
Qwen-embed,Llama3-vllm-fs-bing,1-5,0.6724,29,31
Qwen-embed,Llama3-vllm-fs-bing,6-10,0.5833,12,12
Qwen-embed,Llama3-vllm-fs-bing,11-25,0.6207,29,32
Qwen-embed,Llama3-vllm-fs-bing,26-50,0.5955,55,60
Qwen-embed,Llama3-vllm-fs-bing,51-100,0.6339,61,71
Qwen-embed,Llama3-vllm-zs-basic,1-5,0.8103,29,31
Qwen-embed,Llama3-vllm-zs-basic,6-10,0.75,12,12
Qwen-embed,Llama3-vllm-zs-basic,11-25,0.8448,29,32
Qwen-embed,Llama3-vllm-zs-basic,26-50,0.7818,55,60
Qwen-embed,Llama3-vllm-zs-basic,51-100,0.8197,61,71
Qwen-embed,Gemma2-vllm-zs-bing,1-5,0.6207,29,31
Qwen-embed,Gemma2-vllm-zs-bing,6-10,0.5,12,12
Qwen-embed,Gemma2-vllm-zs-bing,11-25,0.6897,29,32
Qwen-embed,Gemma2-vllm-zs-bing,26-50,0.5909,55,60
Qwen-embed,Gemma2-vllm-zs-bing,51-100,0.5164,61,71
Qwen-embed,Gemma2-vllm-zs-bing-strict,1-5,0.4828,29,31
Qwen-embed,Gemma2-vllm-zs-bing-strict,6-10,0.5,12,12
Qwen-embed,Gemma2-vllm-zs-bing-strict,11-25,0.7931,29,32
Qwen-embed,Gemma2-vllm-zs-bing-strict,26-50,0.5955,55,60
Qwen-embed,Gemma2-vllm-zs-bing-strict,51-100,0.6311,61,71
Qwen3-embed,Human,1-5,0.2502,960,4800
Qwen3-embed,Human,6-10,0.0708,960,4800
Qwen3-embed,Human,11-25,0.0324,960,14400
Qwen3-embed,Human,26-50,0.0131,960,24000
Qwen3-embed,Human,51-100,0.0049,960,48000
Qwen3-embed,Qwen2.5-7B,1-5,0.7338,840,1828
Qwen3-embed,Qwen2.5-7B,6-10,0.4405,541,865
Qwen3-embed,Qwen2.5-7B,11-25,0.3349,682,1387
Qwen3-embed,Qwen2.5-7B,26-50,0.2637,633,1086
Qwen3-embed,Qwen2.5-7B,51-100,0.2205,564,921
Qwen3-embed,DeepSeek-V3,1-5,0.7329,840,1828
Qwen3-embed,DeepSeek-V3,6-10,0.4045,541,865
Qwen3-embed,DeepSeek-V3,11-25,0.2894,682,1387
Qwen3-embed,DeepSeek-V3,26-50,0.2126,633,1086
Qwen3-embed,DeepSeek-V3,51-100,0.2042,564,921
Qwen3-embed,ChatGPT,1-5,0.6236,756,1646
Qwen3-embed,ChatGPT,6-10,0.3637,489,781
Qwen3-embed,ChatGPT,11-25,0.2594,614,1247
Qwen3-embed,ChatGPT,26-50,0.2019,574,981
Qwen3-embed,ChatGPT,51-100,0.1975,508,840
Qwen3-embed,Llama3-default,1-5,0.9433,840,1828
Qwen3-embed,Llama3-default,6-10,0.8665,541,865
Qwen3-embed,Llama3-default,11-25,0.7932,682,1387
Qwen3-embed,Llama3-default,26-50,0.7563,633,1086
Qwen3-embed,Llama3-default,51-100,0.66,564,921
Qwen3-embed,Llama3-strict,1-5,0.7648,840,1828
Qwen3-embed,Llama3-strict,6-10,0.5205,541,865
Qwen3-embed,Llama3-strict,11-25,0.442,682,1387
Qwen3-embed,Llama3-strict,26-50,0.3916,633,1086
Qwen3-embed,Llama3-strict,51-100,0.3169,564,921
Qwen3-embed,Llama3-vllm-fs-basic,1-5,0.8174,840,1828
Qwen3-embed,Llama3-vllm-fs-basic,6-10,0.6171,541,865
Qwen3-embed,Llama3-vllm-fs-basic,11-25,0.5162,682,1387
Qwen3-embed,Llama3-vllm-fs-basic,26-50,0.4666,633,1086
Qwen3-embed,Llama3-vllm-fs-basic,51-100,0.4052,564,921
Qwen3-embed,Llama3-vllm-fs-bing,1-5,0.75,840,1828
Qwen3-embed,Llama3-vllm-fs-bing,6-10,0.5139,541,865
Qwen3-embed,Llama3-vllm-fs-bing,11-25,0.407,682,1387
Qwen3-embed,Llama3-vllm-fs-bing,26-50,0.3018,633,1086
Qwen3-embed,Llama3-vllm-fs-bing,51-100,0.2497,564,921
Qwen3-embed,Llama3-vllm-zs-basic,1-5,0.9159,840,1828
Qwen3-embed,Llama3-vllm-zs-basic,6-10,0.7994,541,865
Qwen3-embed,Llama3-vllm-zs-basic,11-25,0.6871,682,1387
Qwen3-embed,Llama3-vllm-zs-basic,26-50,0.6295,633,1086
Qwen3-embed,Llama3-vllm-zs-basic,51-100,0.5533,564,921
Qwen3-embed,Gemma2-vllm-zs-bing,1-5,0.8052,840,1828
Qwen3-embed,Gemma2-vllm-zs-bing,6-10,0.5747,541,865
Qwen3-embed,Gemma2-vllm-zs-bing,11-25,0.4401,682,1387
Qwen3-embed,Gemma2-vllm-zs-bing,26-50,0.3914,633,1086
Qwen3-embed,Gemma2-vllm-zs-bing,51-100,0.3513,564,921
Qwen3-embed,Gemma2-vllm-zs-bing-strict,1-5,0.8151,840,1828
Qwen3-embed,Gemma2-vllm-zs-bing-strict,6-10,0.626,541,865
Qwen3-embed,Gemma2-vllm-zs-bing-strict,11-25,0.4837,682,1387
Qwen3-embed,Gemma2-vllm-zs-bing-strict,26-50,0.4379,633,1086
Qwen3-embed,Gemma2-vllm-zs-bing-strict,51-100,0.4092,564,921
Hybrid-BGE,Human,1-5,0.271,960,4800
Hybrid-BGE,Human,6-10,0.095,960,4800
Hybrid-BGE,Human,11-25,0.0365,960,14400
Hybrid-BGE,Human,26-50,0.0127,960,24000
Hybrid-BGE,Human,51-100,0.004,960,48000
Hybrid-BGE,Qwen2.5-7B,1-5,0.6154,879,2154
Hybrid-BGE,Qwen2.5-7B,6-10,0.3864,661,1246
Hybrid-BGE,Qwen2.5-7B,11-25,0.3599,758,1741
Hybrid-BGE,Qwen2.5-7B,26-50,0.247,598,1020
Hybrid-BGE,Qwen2.5-7B,51-100,0.2153,510,844
Hybrid-BGE,DeepSeek-V3,1-5,0.5969,879,2154
Hybrid-BGE,DeepSeek-V3,6-10,0.3607,661,1246
Hybrid-BGE,DeepSeek-V3,11-25,0.3106,758,1741
Hybrid-BGE,DeepSeek-V3,26-50,0.2295,598,1020
Hybrid-BGE,DeepSeek-V3,51-100,0.1593,510,844
Hybrid-BGE,ChatGPT,1-5,0.5188,795,1942
Hybrid-BGE,ChatGPT,6-10,0.3066,602,1132
Hybrid-BGE,ChatGPT,11-25,0.291,686,1563
Hybrid-BGE,ChatGPT,26-50,0.2135,546,944
Hybrid-BGE,ChatGPT,51-100,0.1561,458,749
Hybrid-BGE,Llama3-default,1-5,0.919,879,2154
Hybrid-BGE,Llama3-default,6-10,0.8324,661,1246
Hybrid-BGE,Llama3-default,11-25,0.7675,758,1741
Hybrid-BGE,Llama3-default,26-50,0.6733,598,1020
Hybrid-BGE,Llama3-default,51-100,0.6086,510,844
Hybrid-BGE,Llama3-strict,1-5,0.6834,879,2154
Hybrid-BGE,Llama3-strict,6-10,0.4956,661,1246
Hybrid-BGE,Llama3-strict,11-25,0.4494,758,1741
Hybrid-BGE,Llama3-strict,26-50,0.3399,598,1020
Hybrid-BGE,Llama3-strict,51-100,0.2737,510,844
Hybrid-BGE,Llama3-vllm-fs-basic,1-5,0.7346,879,2154
Hybrid-BGE,Llama3-vllm-fs-basic,6-10,0.573,661,1246
Hybrid-BGE,Llama3-vllm-fs-basic,11-25,0.5084,758,1741
Hybrid-BGE,Llama3-vllm-fs-basic,26-50,0.4337,598,1020
Hybrid-BGE,Llama3-vllm-fs-basic,51-100,0.3505,510,844
Hybrid-BGE,Llama3-vllm-fs-bing,1-5,0.6443,879,2154
Hybrid-BGE,Llama3-vllm-fs-bing,6-10,0.4416,661,1246
Hybrid-BGE,Llama3-vllm-fs-bing,11-25,0.3929,758,1741
Hybrid-BGE,Llama3-vllm-fs-bing,26-50,0.2904,598,1020
Hybrid-BGE,Llama3-vllm-fs-bing,51-100,0.2451,510,844
Hybrid-BGE,Llama3-vllm-zs-basic,1-5,0.8737,879,2154
Hybrid-BGE,Llama3-vllm-zs-basic,6-10,0.7333,661,1246
Hybrid-BGE,Llama3-vllm-zs-basic,11-25,0.674,758,1741
Hybrid-BGE,Llama3-vllm-zs-basic,26-50,0.5806,598,1020
Hybrid-BGE,Llama3-vllm-zs-basic,51-100,0.4649,510,844
Hybrid-BGE,Gemma2-vllm-zs-bing,1-5,0.7139,879,2154
Hybrid-BGE,Gemma2-vllm-zs-bing,6-10,0.5163,661,1246
Hybrid-BGE,Gemma2-vllm-zs-bing,11-25,0.4576,758,1741
Hybrid-BGE,Gemma2-vllm-zs-bing,26-50,0.37,598,1020
Hybrid-BGE,Gemma2-vllm-zs-bing,51-100,0.3192,510,844
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,1-5,0.7412,879,2154
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,6-10,0.5535,661,1246
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,11-25,0.5161,758,1741
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,26-50,0.4199,598,1020
Hybrid-BGE,Gemma2-vllm-zs-bing-strict,51-100,0.3749,510,844
Hybrid-Qwen3,Human,1-5,0.2365,960,4800
Hybrid-Qwen3,Human,6-10,0.0877,960,4800
Hybrid-Qwen3,Human,11-25,0.0383,960,14400
Hybrid-Qwen3,Human,26-50,0.0128,960,24000
Hybrid-Qwen3,Human,51-100,0.005,960,48000
Hybrid-Qwen3,Qwen2.5-7B,1-5,0.6469,837,1830
Hybrid-Qwen3,Qwen2.5-7B,6-10,0.4384,633,1075
Hybrid-Qwen3,Qwen2.5-7B,11-25,0.3544,736,1621
Hybrid-Qwen3,Qwen2.5-7B,26-50,0.2934,605,1040
Hybrid-Qwen3,Qwen2.5-7B,51-100,0.2024,550,952
Hybrid-Qwen3,DeepSeek-V3,1-5,0.6373,837,1830
Hybrid-Qwen3,DeepSeek-V3,6-10,0.4198,633,1075
Hybrid-Qwen3,DeepSeek-V3,11-25,0.3166,736,1621
Hybrid-Qwen3,DeepSeek-V3,26-50,0.2342,605,1040
Hybrid-Qwen3,DeepSeek-V3,51-100,0.1725,550,952
Hybrid-Qwen3,ChatGPT,1-5,0.5403,759,1654
Hybrid-Qwen3,ChatGPT,6-10,0.3531,569,965
Hybrid-Qwen3,ChatGPT,11-25,0.2891,669,1461
Hybrid-Qwen3,ChatGPT,26-50,0.2468,544,942
Hybrid-Qwen3,ChatGPT,51-100,0.1735,502,875
Hybrid-Qwen3,Llama3-default,1-5,0.9319,837,1830
Hybrid-Qwen3,Llama3-default,6-10,0.8705,633,1075
Hybrid-Qwen3,Llama3-default,11-25,0.7853,736,1621
Hybrid-Qwen3,Llama3-default,26-50,0.7035,605,1040
Hybrid-Qwen3,Llama3-default,51-100,0.6602,550,952
Hybrid-Qwen3,Llama3-strict,1-5,0.6989,837,1830
Hybrid-Qwen3,Llama3-strict,6-10,0.5374,633,1075
Hybrid-Qwen3,Llama3-strict,11-25,0.4605,736,1621
Hybrid-Qwen3,Llama3-strict,26-50,0.3604,605,1040
Hybrid-Qwen3,Llama3-strict,51-100,0.319,550,952
Hybrid-Qwen3,Llama3-vllm-fs-basic,1-5,0.763,837,1830
Hybrid-Qwen3,Llama3-vllm-fs-basic,6-10,0.6159,633,1075
Hybrid-Qwen3,Llama3-vllm-fs-basic,11-25,0.5388,736,1621
Hybrid-Qwen3,Llama3-vllm-fs-basic,26-50,0.449,605,1040
Hybrid-Qwen3,Llama3-vllm-fs-basic,51-100,0.3689,550,952
Hybrid-Qwen3,Llama3-vllm-fs-bing,1-5,0.6837,837,1830
Hybrid-Qwen3,Llama3-vllm-fs-bing,6-10,0.4768,633,1075
Hybrid-Qwen3,Llama3-vllm-fs-bing,11-25,0.4024,736,1621
Hybrid-Qwen3,Llama3-vllm-fs-bing,26-50,0.3404,605,1040
Hybrid-Qwen3,Llama3-vllm-fs-bing,51-100,0.2345,550,952
Hybrid-Qwen3,Llama3-vllm-zs-basic,1-5,0.8849,837,1830
Hybrid-Qwen3,Llama3-vllm-zs-basic,6-10,0.7722,633,1075
Hybrid-Qwen3,Llama3-vllm-zs-basic,11-25,0.6862,736,1621
Hybrid-Qwen3,Llama3-vllm-zs-basic,26-50,0.6034,605,1040
Hybrid-Qwen3,Llama3-vllm-zs-basic,51-100,0.526,550,952
Hybrid-Qwen3,Gemma2-vllm-zs-bing,1-5,0.7363,837,1830
Hybrid-Qwen3,Gemma2-vllm-zs-bing,6-10,0.55,633,1075
Hybrid-Qwen3,Gemma2-vllm-zs-bing,11-25,0.4807,736,1621
Hybrid-Qwen3,Gemma2-vllm-zs-bing,26-50,0.3952,605,1040
Hybrid-Qwen3,Gemma2-vllm-zs-bing,51-100,0.3421,550,952
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,1-5,0.7613,837,1830
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,6-10,0.5936,633,1075
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,11-25,0.526,736,1621
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,26-50,0.4599,605,1040
Hybrid-Qwen3,Gemma2-vllm-zs-bing-strict,51-100,0.4036,550,952
